Sr.#,District,Tehsil,Markaz,EMIS,"School Name","Male Baseline","Male Current","Male Target","Female Baseline","Female Current","Female Target","Total Baseline","Total Current","Total Target","Achievement %"
30668,MIANWALI,PIPLAN,SECONDARY-WING,38330030,"GHS DABB",510,512,570,12,21,13,522,533,583,18%
30669,MIANWALI,PIPLAN,SECONDARY-WING,38330026,"GHS DOABA",599,620,635,0,1,0,599,621,635,61.1%
30670,MIANWALI,PIPLAN,SECONDARY-WING,38330029,"GHS HAFIZ WALA",520,532,608,0,0,0,520,532,608,13.6%
30671,MIANWALI,PIPLAN,SECONDARY-WING,38330095,"GHS JHAMTAN WALA",317,337,344,11,11,12,328,348,356,71.4%
30672,MIANWALI,PIPLAN,SECONDARY-WING,38330126,"GHS KATCHA GUJRAT TEH PIPLAN",370,391,390,0,0,0,370,391,390,100%
30673,MIANWALI,PIPLAN,SECONDARY-WING,38330123,"GHS KHOLA SAEED ABAD PO DING VIA CHASHMA BAR",350,360,378,37,46,40,387,406,418,61.3%
30674,MIANWALI,PIPLAN,SECONDARY-WING,38330006,"GHS KUNDIAN",461,511,530,0,0,0,461,511,530,72.5%
30675,MIANWALI,PIPLAN,SECONDARY-WING,38330121,"GHS KUNDIAN CITY",215,260,233,26,30,28,241,290,261,100%
30676,MIANWALI,PIPLAN,SECONDARY-WING,38330025,"GHS MUSI WALI",420,432,438,0,0,0,420,432,438,66.7%
30677,MIANWALI,PIPLAN,SECONDARY-WING,38330046,"GHS NO. 1 PIPLAN",935,959,1035,3,1,3,938,960,1038,22%
30678,MIANWALI,PIPLAN,SECONDARY-WING,38330028,"GHS PHATHI JOYIAN WALI",389,388,435,6,8,7,395,396,442,2.1%
30679,MIANWALI,PIPLAN,SECONDARY-WING,38330094,"GHS SANDAN WALA",205,231,216,0,0,0,205,231,216,100%
30680,MIANWALI,PIPLAN,SECONDARY-WING,38330129,"GHS SEELWAN",952,974,1005,1,2,1,953,976,1006,43.4%
30681,MIANWALI,PIPLAN,SECONDARY-WING,38330023,"GHS SIR SYED PIPLAN",712,723,782,3,2,3,715,725,785,14.3%
30682,MIANWALI,PIPLAN,SECONDARY-WING,38330098,"GHS VICHVEEN",307,314,329,0,2,0,307,316,329,40.9%
30683,MIANWALI,PIPLAN,SECONDARY-WING,38330024,"GHSS HARNOLI",726,863,755,1,0,1,727,863,756,100%
30684,MIANWALI,PIPLAN,SECONDARY-WING,38330033,"GHSS SHAMSHEERA ABAD",221,276,226,1,1,1,222,277,227,100%
30685,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330145,"GGES JALL SHUMALI",21,39,24,358,379,402,379,418,426,83%
30686,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330148,"GGES MUSA WALI",2,7,2,400,410,447,402,417,449,31.9%
30687,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330793,"GGES TIBBA MEHRBAN SHAH",87,102,94,187,186,203,274,288,297,60.9%
30688,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330791,"GGPS ARSLAN WALA",8,10,9,146,147,157,154,157,166,25%
30689,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330763,"GGPS DERA KARAM HAIDER SHAH PIPLAN",46,51,51,76,77,84,122,128,135,46.2%
30690,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330788,"GGPS JALL DHUP SARI",66,70,73,60,70,66,126,140,139,100%
30691,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330784,"GGPS RABANI WALA",47,44,50,75,79,80,122,123,130,12.5%
30692,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330777,"GGPS SHAKAR PARI PIPLAN",34,43,36,128,134,137,162,177,173,100%
30693,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330153,"GMES CHAK NO. 18 ML",84,90,91,199,179,216,283,269,307,0%
30694,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330789,"GMES JALL JANUBI",231,234,247,251,255,268,482,489,515,21.2%
30695,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330796,"GMPS NAZAR HUSSIAN SHAH",51,48,55,62,68,67,113,116,122,33.3%
30696,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330779,"GMPS OLKHAN WALA",106,122,116,207,219,227,313,341,343,93.3%
30697,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH -FEMALE",38330804,"GMPS VAVNA WALA SHUMALI",0,0,0,0,0,0,0,0,0,0%
30698,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330091,"GES TIBBA MEHRBAN SHAH",200,218,219,0,0,0,200,218,219,94.7%
30699,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330509,"GPS BILALAN WALA",0,0,0,0,0,0,0,0,0,0%
30700,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330347,"GPS CHAH MOHAMMAD KHAN WALA",0,0,0,0,0,0,0,0,0,0%
30701,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330462,"GPS CHAK NO 10 ML",65,67,69,37,45,39,102,112,108,100%
30702,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330314,"GPS KHADIM HUSSAIN SHAH",0,0,0,0,0,0,0,0,0,0%
30703,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330311,"GPS MATHA JAI PACCA",110,111,120,0,10,0,110,121,120,100%
30704,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330298,"GPS MURID ABBAS SHAH",59,65,65,44,48,48,103,113,113,100%
30705,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330319,"GPS MUSA WALI JANUBI",55,62,60,47,51,51,102,113,111,100%
30706,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330312,"GPS TIBBA GAMA SHAH",71,70,75,55,69,58,126,139,133,100%
30707,MIANWALI,PIPLAN,"TIBBA MEHARBAN SHAH-MALE",38330310,"GPS WINOTA",139,154,153,101,110,111,240,264,264,100%
30708,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330843,"GGCMS CHAK NO. 18/DB",56,58,62,47,51,52,103,109,114,54.5%
30709,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330811,"GGES VICHVEEN",7,8,8,213,204,249,220,212,257,0%
30710,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330817,"GGPS CHAK NO. 19 DB PIPLAN",15,26,16,148,172,162,163,198,178,100%
30711,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330837,"GGPS SANDAN WALA",0,0,0,122,141,131,122,141,131,100%
30712,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330856,"GGPS SULTAN AHMAD WALA",0,0,0,0,0,0,0,0,0,0%
30713,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330813,"GMPS 18 A/DB TEH MIANWALI",47,48,49,55,57,58,102,105,107,60%
30714,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330607,"GMPS AWAN WALA EAST",65,63,69,50,52,53,115,115,122,0%
30715,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330815,"GMPS CHAK NO 21 DB",88,93,95,138,138,148,226,231,243,29.4%
30716,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330812,"GMPS CHAK NO. 12-A/DB PO HERNOLI",0,0,0,0,0,0,0,0,0,0%
30717,MIANWALI,PIPLAN,VICHVEEN-FEMALE,38330864,"GMPS CHAK NO.17 DB",158,180,170,244,237,263,402,417,433,48.4%
30718,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140227,"GGCMES BASTI BARAR",2,12,3,261,270,410,263,282,413,12.7%
30719,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140041,"GGES ALI PUR SADAT",19,22,20,311,331,333,330,353,353,100%
30720,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140224,"GGES INAYAT PUR",26,28,28,306,328,325,332,356,353,100%
30721,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140254,"GGES WACH SINDHALA",0,0,0,356,395,393,356,395,393,100%
30722,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140233,"GGPS ADOO WALI",38,50,46,89,88,107,127,138,153,42.3%
30723,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140234,"GGPS AHMED BUKHSH WALI MOZA ADDO WALI",48,55,50,168,192,175,216,247,225,100%
30724,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140221,"GGPS BAHARA NO 1 TEH. JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30725,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140222,"GGPS BAHARA NO 2",0,0,0,0,0,0,0,0,0,0%
30726,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140141,"GGPS BASTI ATA NOOR",51,67,57,69,66,76,120,133,133,100%
30727,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140256,"GGPS BASTI NOON",59,56,65,46,39,50,105,95,115,0%
30728,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140231,"GGPS CHAK JAHAMAT",39,47,42,79,75,86,118,122,128,40%
30729,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140407,"GGPS Pathan Wala Multan",0,0,3,0,0,3,0,0,6,0%
30730,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140402,"GGPS TIBBA LAANG",55,64,60,52,52,56,107,116,116,100%
30731,MULTAN,"JALALPUR PIRWALA","ALI PUR SADAT - FEMALE",36140235,"GMPS MOCHI PANUHAN",72,78,76,99,102,104,171,180,180,100%
30732,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140144,"GGES MISRAN WALA",94,105,105,171,176,192,265,281,297,50%
30733,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140162,"GGPS AHMAD BUKHSH MIANI JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30734,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140167,"GGPS BAHADAR PUR NO. 2 JALALPUR PIRWALA",67,78,79,65,72,77,132,150,156,75%
30735,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140169,"GGPS BAITO WAHI TEH. JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30736,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140159,"GGPS BASTI LONG TEH. JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30737,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140198,"GGPS BASTI PAHORAN",0,0,0,0,0,0,0,0,0,0%
30738,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140181,"GGPS CHAN WALA",0,0,0,0,0,0,0,0,0,0%
30739,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140161,"GGPS DAUD WALA",0,0,0,0,0,0,0,0,0,0%
30740,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140192,"GGPS NIAZ BHUTTA",27,27,29,104,104,113,131,131,142,0%
30741,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140203,"GMPS BASTI SAWA JALALPUR PIRWALA",90,87,114,111,123,141,201,210,255,16.7%
30742,MULTAN,"JALALPUR PIRWALA","BAHADUR PUR - FEMALE",36140168,"GMPS PEER OLIYA (DEEPAL)",67,75,75,79,99,88,146,174,163,100%
30743,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140039,"GGES DARKHAN WALA (FAIZABAD)",8,7,8,282,298,295,290,305,303,100%
30744,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140217,"GGES LAR JANOBI",32,51,40,202,216,254,234,267,294,55%
30745,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140253,"GGPS BASTI BAKHSHA",0,0,0,0,0,0,0,0,0,0%
30746,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140247,"GGPS BASTI KAMAL",0,0,0,0,0,0,0,0,0,0%
30747,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140219,"GGPS JHANGI AHMED KHAN",0,0,0,0,0,0,0,0,0,0%
30748,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140248,"GGPS LATIF ABAD",0,0,0,0,0,0,0,0,0,0%
30749,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140220,"GGPS THARO WALI",0,0,0,0,0,0,0,0,0,0%
30750,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140252,"GMPS BAIT KAITCH",70,79,75,90,94,97,160,173,172,100%
30751,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140246,"GMPS DIN PUR JALALPUR PIRWALA",120,126,125,136,148,142,256,274,267,100%
30752,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140251,"GMPS NACHING",63,73,65,95,99,99,158,172,164,100%
30753,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140218,"GMPS NAROOL",0,0,0,0,0,0,0,0,0,0%
30754,MULTAN,"JALALPUR PIRWALA","BAIT KAITCH - FEMALE",36140250,"GMPS SHAMAS ABAD",0,0,0,0,0,0,0,0,0,0%
30755,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140022,"GES BASTI LANG BASTI LANG",253,257,269,87,104,92,340,361,361,100%
30756,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140060,"GPS BAIT WAHI  NO:2 P/O BAHADUR PUR",129,134,146,116,120,131,245,254,277,28.1%
30757,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140061,"GPS BAIT WAHI NO.1",64,74,70,50,58,54,114,132,124,100%
30758,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140049,"GPS BHOGI SHAHEED JALALPUR",61,62,87,44,48,63,105,110,150,11.1%
30759,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140078,"GPS HOORI WALA",57,67,62,60,75,65,117,143,127,100%
30760,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140089,"GPS JAHANA MOTHA MUZA MOTHA P/O KOTLA CHAKAR JPP.",117,146,121,84,114,87,201,260,208,100%
30761,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140056,"GPS JHANBU JALALPUR PIRWALA",84,90,88,72,76,75,156,167,163,100%
30762,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140090,"GPS JOYYA ABAD P/O KOTLA CHAKAR",124,141,130,93,109,97,217,250,227,100%
30763,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140055,"GPS KOTLA SHAH RASOOL JALALPUR PIRWALA",61,73,78,59,67,75,120,140,153,60.6%
30764,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140057,"GPS LAANG WALA JALALPUR",110,126,121,93,103,102,203,229,223,100%
30765,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140088,"GPS MEHR DAD P/O KOTLA CHAKAR JPP",85,91,90,32,39,34,117,130,124,100%
30766,MULTAN,"JALALPUR PIRWALA","DEPAL - MALE",36140087,"GPS SHAH WALA P/O KOTLA CHAKAR JPP.",0,0,0,0,0,0,0,0,0,0%
30767,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140101,"GES DURAB PUR SHERQI TEHSIL. JALALPUR PIRWALSA",154,153,238,87,102,135,241,255,373,10.6%
30768,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140059,"GES JHUNDA MIANI JALALPUR PIRWALA",130,151,135,96,124,100,226,275,235,100%
30769,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140134,"GPS BASIRA",101,117,105,128,161,133,229,278,238,100%
30770,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140273,"GPS CHAK 87/M JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30771,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140305,"GPS DARAB PUR SHARQI BASTI KOTLA MOZA DARAB PUR",60,70,62,93,100,97,153,170,159,100%
30772,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140303,"GPS HAZOOR BAKHSH DADA JALALPUR",58,88,64,78,95,85,136,183,149,100%
30773,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140100,"GPS JAFFRAIN",0,0,0,0,0,0,0,0,0,0%
30774,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140058,"GPS JAM QASIM WALA ",74,84,81,51,72,55,125,156,136,100%
30775,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140123,"GPS KOT IMAM DIN PUR PIR WALA",0,0,0,0,0,0,0,0,0,0%
30776,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140274,"GPS NOSHEHRA",101,138,110,51,74,55,152,212,165,100%
30777,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140068,"GPS OBARA JNOOBI JALAL PUR PIR WALA",77,93,81,72,72,75,149,165,156,100%
30778,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140112,"GPS RAMZAN WALA",274,301,288,169,209,177,443,510,465,100%
30779,MULTAN,"JALALPUR PIRWALA","DURAB PUR - MALE",36140289,"GPS ZAHIDAN JALALPUR",0,0,0,0,0,0,0,0,0,0%
30780,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140040,"GGES GHAZI PUR JALALPUR PIRWALA",14,11,17,203,214,245,217,225,262,17.8%
30781,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140232,"GGPS BASTI HASSAN BAKHSH WALA",26,27,28,102,106,110,128,133,138,50%
30782,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140264,"GGPS BASTI NAWAB JALALPUR PIRWALA",31,41,34,97,100,107,128,141,141,100%
30783,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140266,"GGPS BASTI ZOHRA",22,27,29,88,105,118,110,132,147,59.5%
30784,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140225,"GGPS BHATRAIN JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30785,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140265,"GGPS HAYAT PUR ARAIN",0,0,0,0,0,0,0,0,0,0%
30786,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140258,"GGPS JANG WALA",0,0,0,0,0,0,0,0,0,0%
30787,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140226,"GGPS MOLVI ATTA NO. 1",0,0,0,99,131,112,99,131,112,100%
30788,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140263,"GGPS PURANI BALI",0,0,0,0,0,0,0,0,0,0%
30789,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140331,"GGPS RIPRI JPP",0,0,0,0,0,0,0,0,0,0%
30790,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140262,"GMPS BEHLI SHARIF JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30791,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140259,"GMPS KHAKI POONTA",0,0,0,0,0,0,0,0,0,0%
30792,MULTAN,"JALALPUR PIRWALA","GHAZI PUR - FEMALE",36140261,"GMPS SHAH PUR LAMMA",0,0,0,0,0,0,0,0,0,0%
30793,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140156,"GGES HOOT WALA NO 1",0,0,0,212,230,226,212,230,226,100%
30794,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140149,"GGPS BALOCHAN TEH. JALALPUR PIRWALA",43,49,46,69,73,75,112,122,121,100%
30795,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140194,"GGPS BHAPLA WALA",41,43,43,75,79,79,116,122,122,100%
30796,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140177,"GGPS BOOL GARH 2 JALAL PUR",0,0,0,0,0,0,0,0,0,0%
30797,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140403,"GGPS JANO WALI",60,68,65,79,83,86,139,151,151,100%
30798,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140148,"GGPS KARAM ALI WALA",49,49,53,63,53,68,112,102,121,0%
30799,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140191,"GGPS KIHAR WAH",28,26,30,120,129,126,148,155,156,87.5%
30800,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140190,"GGPS SHEIKHO WALA MOUZA SHEIKHO WALA",0,0,0,0,0,0,0,0,0,0%
30801,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140142,"GMPS BOOL GARH NO.1",93,111,109,81,80,95,174,191,204,56.7%
30802,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140205,"GMPS JANAY WALA TEH. JALALPUR PIRWALA",70,77,76,66,61,71,136,138,147,18.2%
30803,MULTAN,"JALALPUR PIRWALA","HOOT WALA - FEMALE",36140170,"GMPS THAKLAN JALALPUR PIRWALA",52,51,56,68,73,73,120,124,129,44.4%
30804,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140236,"GGES JAHAN PUR",0,0,0,149,163,162,149,163,162,100%
30805,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140038,"GGES MANSOOR PUR",0,0,0,253,260,302,253,260,302,14.3%
30806,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140241,"GGPS BASTI BAKHSH MOUZA MOSEN WALA",0,0,0,0,0,0,0,0,0,0%
30807,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140228,"GGPS BASTI BHALAR TEH. JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30808,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140230,"GGPS BASTI KHAKI",51,55,55,63,69,68,114,124,123,100%
30809,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140257,"GGPS CHAH KHOSA WALA",0,0,0,0,0,0,0,0,0,0%
30810,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140237,"GGPS GHULAM MOHAMMAD WALA",48,49,52,54,54,59,102,103,111,11.1%
30811,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140146,"GGPS HOOT WALA NO. 2",0,0,0,0,0,0,0,0,0,0%
30812,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140238,"GGPS KOTLI AADIL",14,24,15,130,133,144,144,157,159,86.7%
30813,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140210,"GGPS RIAZ ABAD BASTI ILYAS WALA",48,41,55,67,59,77,115,100,132,0%
30814,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140207,"GGPS TIBBI SAIDAN SHAH WALI",0,0,0,0,0,0,0,0,0,0%
30815,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140196,"GMPS BASTI DHANDI",0,0,0,0,0,0,0,0,0,0%
30816,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140229,"GMPS JHANDARAIN",0,0,0,0,0,0,0,0,0,0%
30817,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - FEMALE",36140239,"GMPS SERWER ABAD",75,95,82,156,159,171,231,254,253,100%
30818,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140121,"GES BAIT KAISAR JALALPUR PIRWALA",230,231,369,4,36,6,234,267,375,23.4%
30819,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140120,"GES BHUTTAIN",68,113,131,69,127,133,137,240,264,81.1%
30820,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140030,"GES KIKRI P/O KIKRI",115,172,235,56,105,114,171,277,349,59.6%
30821,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140103,"GES MANSOOR PUR MOUZA MANSOOR PUR TAH. JALALPUR PIRWALA",220,238,330,0,0,0,220,238,330,16.4%
30822,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140126,"GPS BASTI BUKHSH P/O GHAZI PUR",106,111,115,2,2,2,108,113,117,55.6%
30823,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140128,"GPS BASTI MALKANI P/O GHAZI PUR",46,68,75,66,83,108,112,151,183,54.9%
30824,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140117,"GPS KHAKHI QOOM P/O GHAZI PUR JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30825,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140104,"GPS KULAB BASTI KULAB JALALPUR PIRWALA",78,99,87,76,97,84,154,196,171,100%
30826,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140119,"GPS MANIK WALI MUZA BEHLI SHARIF P/O GHAZI PUR",39,67,68,66,103,114,105,170,182,84.4%
30827,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140093,"GPS MOSIN WALI JALALPUR PIRWALA",106,116,112,115,126,122,221,242,234,100%
30828,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140293,"GPS NAWAZ ABAD MOUZA SHADI KACHALA P/O GHAZI PUR",70,87,116,41,52,68,111,139,184,38.4%
30829,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140094,"GPS NOU ABAD JALALPUR PIRWALA",59,68,77,61,88,80,120,156,157,97.3%
30830,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140304,"GPS REHMANIA BASTI AHMED BUX WALI JALALPUR PIRWALA",0,0,0,0,0,0,0,0,0,0%
30831,MULTAN,"JALALPUR PIRWALA","JAHAN PUR - MALE",36140102,"GPS SAHAINTI MOZA HAFIZ WALA",0,0,0,0,0,0,0,0,0,0%
30832,MULTAN,"JALALPUR PIRWALA",JALALPUR,36140270,"GMMS CHATTAY WALA MOUZA THAKALAN JANOBI",0,0,0,0,0,0,0,0,0,0%
30833,MULTAN,"JALALPUR PIRWALA",JALALPUR,36140269,"GMMS DARS HAVELI BASTI JANAY WALA",0,0,0,0,0,0,0,0,0,0%
30834,MULTAN,"JALALPUR PIRWALA",JALALPUR,36140070,"GPS ILYAS WALA",0,0,0,0,0,0,0,0,0,0%
30835,MULTAN,"JALALPUR PIRWALA","JALALPUR PIRWALA - FEMALE",36140033,"GGES UMER PUR NO.2 ",92,91,96,134,146,141,226,237,237,100%
30836,MULTAN,"JALALPUR PIRWALA","JALALPUR PIRWALA - FEMALE",36140145,"GGPS BASTI IMAM BUX WALA",103,125,117,106,112,120,209,237,237,100%
30837,MULTAN,"JALALPUR PIRWALA","JALALPUR PIRWALA - FEMALE",36140200,"GGPS BHOOGI SHAHEED NO 2",0,0,0,106,147,113,106,147,113,100%
